StationID,SampleDate,TestMaterial,ParameterCode,SampleType,QABatch,Qualifier,Result,Units,LabCode,AnalysisMethod,SampleCollectionTime,IncubatorEntryTime,ResultReadTime,Comments
GVWBL1,2014-01-14T00:00:00Z,lagoon water,Total Coliforms,results,NA,NA,2247,MPN/100mL,SBCK,Colilert 18 IDEXX,14:00:00,16:00:00,14:00:00,NA
GVWBL1,2014-02-11T00:00:00Z,lagoon water,E. Coli,results,NA,<,10,MPN/100mL,SBCK,Colilert 18 IDEXX,14:50:00,16:00:00,14:00:00,NA
GVWBL1,2014-02-11T00:00:00Z,lagoon water,Total Coliforms,results,NA,>,24192,MPN/100mL,SBCK,Colilert 18 IDEXX,14:50:00,16:00:00,14:00:00,NA
GVWBL1,2014-03-11T00:00:00Z,lagoon water,E. Coli,results,NA,NA,2851,MPN/100mL,SBCK,Colilert 18 IDEXX,15:20:00,17:00:00,15:00:00,NA
GVWBL1,2014-03-11T00:00:00Z,lagoon water,Enterococcus,results,NA,NA,146,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,15:20:00,17:00:00,17:00:00,NA
GVWBL1,2014-03-11T00:00:00Z,lagoon water,Total Coliforms,results,NA,>,24192,MPN/100mL,SBCK,Colilert 18 IDEXX,15:20:00,17:00:00,15:00:00,NA
GVWBL1,2014-04-24T00:00:00Z,lagoon water,E. Coli,results,NA,NA,20,MPN/100mL,SBCK,Colilert 18 IDEXX,15:18:00,18:00:00,16:00:00,NA
GVWBL1,2014-04-24T00:00:00Z,lagoon water,Enterococcus,results,NA,<,10,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,15:18:00,18:00:00,18:00:00,BD
GVWBL1,2014-04-24T00:00:00Z,lagoon water,Total Coliforms,results,NA,>,24192,MPN/100mL,SBCK,Colilert 18 IDEXX,15:18:00,18:00:00,16:00:00,NA
GVWBL1,2014-05-14T00:00:00Z,lagoon water,E. Coli,results,NA,NA,10,MPN/100mL,SBCK,Colilert 18 IDEXX,12:45:00,14:30:00,12:30:00,NA
GVWBL1,2014-05-14T00:00:00Z,lagoon water,Enterococcus,results,NA,<,10,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,12:45:00,14:30:00,14:30:00,NA
GVWBL1,2014-05-14T00:00:00Z,lagoon water,Total Coliforms,results,NA,>,24192,MPN/100mL,SBCK,Colilert 18 IDEXX,12:45:00,14:30:00,12:30:00,NA
GVWBL1,2014-06-13T00:00:00Z,lagoon water,E. Coli,results,NA,NA,31,MPN/100mL,SBCK,Colilert 18 IDEXX,15:07:00,19:00:00,17:00:00,NA
GVWBL1,2014-06-13T00:00:00Z,lagoon water,Enterococcus,results,NA,<,10,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,15:07:00,19:00:00,00:00:00,NA
GVWBL1,2014-06-13T00:00:00Z,lagoon water,Total Coliforms,results,NA,>,24192,MPN/100mL,SBCK,Colilert 18 IDEXX,15:07:00,19:00:00,17:00:00,NA
GVWBL1,2014-07-15T00:00:00Z,lagoon water,E. Coli,results,NA,NA,1178,MPN/100mL,SBCK,Colilert 18 IDEXX,15:07:00,18:00:00,16:00:00,NA
GVWBL1,2014-07-15T00:00:00Z,lagoon water,Enterococcus,results,NA,NA,10,MPN/100mL,SBCK,Enterolert 24 Hour IDEXX,15:07:00,18:00:00,18:00:00,NA
GVWBL1,2014-07-15T00:00:00Z,lagoon water,Total Coliforms,results,NA,>,24192,MPN/100mL,SBCK,Colilert 18 IDEXX,15:07:00,18:00:00,16:00:00,NA
